cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,tvtot,tvpol,rdtot,rdpol,nwsptot,nwsppol,netuse,ppltrst,pplfair,pplhlp,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inmdisc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzship,ctzshipa,ctzshipb,ctzshipc,brncntr,cntbrth,cntbrtha,cntbrthb,cntbrthc,livecntr,livecnta,lnghoma,lnghom1,lnghomb,lnghom2,blgetmg,facntr,facntn,fbrncnt,fbrncnta,fbrncntb,mocntr,mocntn,mbrncnt,mbrncnta,mbrncntb,gndr,partner,rshpsts,marsts,marital,martlfr,maritala,maritalb,lvghw,lvghwa,lvgoptn,lvgptn,lvgptna,lvgptne,lvgptnea,dvrcdev,dvrcdeva,chldhm,chldhhe,domicil,edulvla,edulvlb,eisced,edufld,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngdk,dngref,dngna,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctr,wrkctra,estsz,jbspv,njbspv,wkdcorg,wkdcorga,iorgact,wkhct,wkhtot,nacer1,nacer11,nacer2,tporgwk,iscoco,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrc,hincsrca,hinctnt,hinctnta,hincfel,brwmny,edulvlpa,edulvlpb,eiscedp,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,iscocop,isco08p,emprelp,emplnop,jbspvp,njbspvp,wkdcorp,ioactp,wkhtotp,edulvlfa,edulvlfb,eiscedf,emprf14,emplnof,jbspvf,occf14,occf14a,occf14b,edulvlma,edulvlmb,eiscedm,emprm14,emplnom,jbspvm,occm14,occm14a,occm14b,atncrse,fxltph,mbltph,inttph,
FR,ESS1-6e01,1.0,26.11.2014,121083,ESS6e02_1,6,2.1,4,1.09813263122301,0.815075370871431,2.702677846,4,2,,,,,,5,4,7,2,,,3,2,5,3,4,7,5,2,2,2,2,2,1,2,1,2,6,,5,3,2,3,4,6,1,1,1,,,10,2,2,4,5,0,0,7,6,,3,2,1,,,,,,,,,3,3,2,66,1,1,8,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,2,66,4,,,,4,,,,,,,1,,1,2,1,5,3,321,3,,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,2,0,,6,1,2,66666,,10,10,45,50,,,1,5,,6330,2,2,6,6,3,2,3,,2,2,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,1,113,1,2,,,,,9,3,321,3,2,,,,,9,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121084,ESS6e02_1,6,2.1,6,2.19626526244602,2.00141625889025,2.702677846,4,4,,,,,,4,7,4,2,,,4,5,8,3,3,5,5,1,2,2,2,2,2,2,1,1,2,,8,7,3,5,7,7,8,1,1,,,10,2,2,4,5,4,8,8,7,,3,2,3,,,,,,,,,1,3,1,1,6,66,6,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,2,1,1,66,,,,1,,,,,,,2,,2,2,1,3,3,321,3,,14,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2004,1,66666,,1,4,1,3,,5,0,35,40,,,86,2,,5321,2,2,6,6,3,3,4,,7,1,,5,520,5,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,,66666,6,,,,,,666,1,113,1,1,,,,,5,2,213,2,1,,,,,3,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121085,ESS6e02_1,6,2.1,10,1.09813263122301,1.00070812944513,2.702677846,1,1,,,,,,5,88,0,4,,,3,3,5,0,0,0,0,1,2,2,2,2,2,2,2,1,4,,9,2,2,2,2,5,3,1,1,,,0,4,4,4,1,2,0,8,7,,2,2,3,,,,,,,,,3,2,2,66,1,1,10,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,2,2,66,5,,,,5,,,,,,,1,,2,2,1,3,3,321,3,,9,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2002,3,66666,,3,1,2,66666,,0,0,888,50,,,45,5,,3313,2,2,6,6,3,3,4,,3,2,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,1,0,1,1,,,,,8,1,0,1,1,,,,,77,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121086,ESS6e02_1,6,2.1,12,2.19626526244602,1.65188543689103,2.702677846,2,3,,,,,,5,4,0,2,,,6,2,5,4,2,2,2,1,2,1,1,2,2,2,1,1,1,,10,9,2,2,3,5,5,2,1,,,6,4,4,3,5,2,2,8,6,,4,2,1,,,,,,,,,2,3,2,66,1,1,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,1,1,66,,,,1,,,,,,,2,,2,2,1,3,4,413,5,,10,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1993,1,66666,,1,4,1,120,,7,7,39,45,,,84,1,,4120,2,2,6,6,3,3,4,,7,2,,2,213,2,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,,66666,6,,,,,,666,1,113,1,1,,,,,3,1,113,1,1,,,,,4,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121087,ESS6e02_1,6,2.1,13,1.09813263122301,0.624800843557446,2.702677846,2,0,,,,,,5,10,10,4,,,5,10,10,10,10,10,10,3,2,2,2,2,2,2,2,1,6,,77,8,10,10,10,5,10,1,1,,,5,8,8,1,10,10,10,7,7,,1,2,1,,,,,,,,,2,2,1,77,6,66,10,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,8,2,,,,DZ,8,,,,66,2,2,66,6,,,,6,,,,,,,1,,2,2,1,3,3,321,3,,11,0,0,0,0,1,0,0,0,0,0,0,0,66,5,2,1,2006,1,66666,,1,1,2,66666,,5,0,30,30,,,47,4,,5223,2,1,1,1,2,5,6,,1,2,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,77,7777,77,7,,,,,66,77,7777,77,7,,,,,66,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121088,ESS6e02_1,6,2.1,14,4,2.96895055428484,2.702677846,2,2,,,,,,7,5,5,3,,,6,8,8,5,5,3,3,1,1,2,2,2,1,2,2,1,2,,5,5,5,3,5,7,8,1,1,,,10,2,4,4,6,6,8,8,7,,3,2,1,,,,,,,,,1,3,1,6,6,66,5,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,2,,,,XK,,1999,,FRE,,000,8,2,,,,XK,2,,,,XK,1,1,1,66,,,,1,,,,,,,2,,2,1,6,3,3,313,4,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,5,2,66666,,0,0,35,37,,,28,4,,7212,2,2,6,6,3,1,1,,7,2,,1,113,1,0,0,0,1,0,0,0,0,0,0,0,0,0,66,2,,66666,6,,,,,,666,1,0,1,2,,,,,9,1,0,1,3,,,,,66,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121089,ESS6e02_1,6,2.1,17,1.09813263122301,0.825942718445517,2.702677846,7,7,,,,,,6,5,8,4,,,2,3,8,2,2,1,4,1,2,2,1,2,2,2,1,2,6,,5,7,2,2,4,4,8,1,2,,,7,3,3,3,7,6,7,8,7,,3,2,1,,,,,,,,,3,3,1,1,6,66,8,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,2,66,5,,,,5,,,,,,,2,,2,2,1,3,3,321,3,,16,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2000,1,66666,,1,4,2,66666,,0,0,39,41,,,24,4,,3322,2,2,6,6,2,3,4,,3,2,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,1,113,1,1,,,,,7,1,113,1,3,,,,,66,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121090,ESS6e02_1,6,2.1,25,0.912932437919548,0.700543250824004,2.702677846,1,1,,,,,,7,8,7,3,,,8,8,8,2,2,5,8,2,2,2,2,2,1,2,2,1,2,,8,8,3,3,3,4,7,4,4,,,2,2,2,2,5,3,3,9,4,,3,2,1,,,,,,,,,1,3,1,1,6,66,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,2,1,1,66,,,,1,,,,,,,1,,2,1,6,5,5,720,7,,18,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,3,1,1,,10,7,32,32,,,21,4,,2262,1,1,2,2,3,1,1,,10,1,,3,313,4,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,,1323,2,,,,,,55,3,323,4,2,,,,,1,5,720,7,1,,,,,1,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121091,ESS6e02_1,6,2.1,26,0.456466218959774,0.350271625412002,2.702677846,4,1,,,,,,7,8,8,2,,,6,8,7,6,6,8,8,3,2,2,2,2,2,2,2,1,2,,2,9,7,7,10,7,7,1,1,,,7,1,1,1,9,9,8,8,7,,4,2,1,,,,,,,,,2,3,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,IT,2,,,,CH,,2004,,FRE,,000,2,2,,,,IT,2,,,,IT,2,2,66,6,,,,6,,,,,,,1,,2,1,6,4,5,610,6,,14,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,2,1,20,,9,7,32,28,,,68,4,,1212,1,2,6,6,3,1,1,,10,1,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,1,113,1,1,,,,,7,1,113,1,4,,,,,66,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121092,ESS6e02_1,6,2.1,30,0.456466218959774,0.357165607431212,2.702677846,3,1,,,,,,3,4,3,3,,,0,7,8,1,0,2,6,2,2,2,2,2,2,2,2,2,6,,5,8,1,1,8,4,8,4,1,,,9,2,2,2,7,8,6,8,6,,3,2,2,,,,,,,,,1,3,2,66,2,66,1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,2,,,,ES,1,2,66,6,,,,6,,,,,,,1,,2,2,2,4,5,720,7,,16,0,0,1,0,0,0,0,0,0,0,0,0,66,3,2,1,2012,1,66666,,1,1,1,2,,10,6,42,45,,,46,4,,3322,1,1,2,1,3,4,5,,6,2,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,3,321,3,1,,,,,6,1,113,1,1,,,,,7,1,,,,
