age,educ,gender,religion,income,immig,loginc
43,15,Male,No religion,1400,4.6666665,7.2442274
23,15,Female,catholic,1400,6.6666665,7.2442274
26,17,Male,No religion,3600,6,8.1886892
48,12,Male,No religion,1700,4.3333335,7.4383836
59,14,Male,No religion,3000,5.3333335,8.0063677
38,10,Female,No religion,1500,3.6666667,7.3132205
50,15,Female,catholic,3800,4.3333335,8.2427559
46,17,Male,No religion,5000,6,8.5171928
32,13,Female,catholic,1900,2.6666667,7.5496092
33,16,Male,No religion,3700,4.6666665,8.2160883
37,15,Male,No religion,2900,6.3333335,7.972466
40,15,Male,No religion,5000,2.6666667,8.5171928
52,15,Male,No religion,5200,6,8.5564137
62,21,Male,No religion,100000,2.6666667,11.512925
26,13,Female,No religion,1400,4.6666665,7.2442274
31,12,Female,No religion,2000,4.3333335,7.6009026
50,15,Female,No religion,2950,7,7.9895606
59,14,Female,No religion,2900,6.6666665,7.972466
31,13,Male,No religion,3000,6,8.0063677
32,18,Male,Islamic,1700,6,7.4383836
56,19,Male,No religion,4600,8.666667,8.4338112
62,13,Female,catholic,3300,4.6666665,8.1016779
37,16,Male,No religion,2942,7.3333335,7.986845
30,13,Female,No religion,2000,1.6666666,7.6009026
39,16,Female,No religion,2900,5.6666665,7.972466
44,17,Female,No religion,6000,5,8.6995144
41,15,Male,Islamic,12,5.3333335,2.4849067
42,13,Male,Islamic,10,6.6666665,2.3025851
44,16,Female,No religion,10,3,2.3025851
33,11,Male,No religion,185,5,5.220356
32,14,Male,No religion,1900,2.6666667,7.5496092
36,17,Male,catholic,3800,3.3333333,8.2427559
45,10,Male,Islamic,2000,7.6666665,7.6009026
27,17,Female,No religion,2500,7,7.8240461
47,12,Male,catholic,2700,1.3333334,7.9010072
59,17,Male,No religion,6500,2,8.7795572
32,20,Female,No religion,1798,6.3333335,7.4944301
48,12,Female,catholic,700,5,6.5510802
27,13,Male,Islamic,12,5,2.4849067
28,17,Male,other,1850,6,7.5229411
31,10,Male,No religion,2300,5,7.7406645
44,13,Male,No religion,1600,7.6666665,7.377759
47,18,Male,No religion,6300,5,8.7483053
39,17,Female,catholic,2200,5.6666665,7.6962128
46,15,Female,No religion,892,4,6.7934661
48,14,Female,catholic,2000,3,7.6009026
51,11,Female,No religion,1400,1.3333334,7.2442274
62,12,Female,No religion,1000,2.3333333,6.9077554
43,14,Male,No religion,6300,6.3333335,8.7483053
50,12,Male,No religion,1700,6,7.4383836
38,12,Female,No religion,1800,3,7.495542
22,15,Female,catholic,1850,4.3333335,7.5229411
49,20,Female,catholic,1016,6.3333335,6.9236288
40,13,Male,No religion,2200,5.3333335,7.6962128
37,15,Female,No religion,1600,4.6666665,7.377759
41,12,Female,No religion,2800,6.6666665,7.9373746
49,12,Female,catholic,3800,2.3333333,8.2427559
49,19,Male,catholic,4500,6,8.4118328
56,1,Female,No religion,3500,5,8.1605186
31,19,Female,No religion,2600,4,7.8632669
53,20,Male,No religion,4900,8.666667,8.4969902
40,17,Male,No religion,2600,6.3333335,7.8632669
53,15,Male,catholic,5000,4.6666665,8.5171928
29,12,Male,No religion,2200,6,7.6962128
52,12,Female,catholic,2800,4,7.9373746
38,12,Male,No religion,4800,4.6666665,8.4763708
42,12,Male,Islamic,2400,6,7.7832241
