age,educ,competition,lrscale,country,sex,secular,emancipative
21,7,8,5,12. Algeria,1. Male,.221111,.164352
24,7,4,5,12. Algeria,2. Female,.276389,.11
26,5,5,6,12. Algeria,2. Female,.304722,.152361
28,6,4,6,12. Algeria,2. Female,.263056,.096667
35,3,4,5,12. Algeria,2. Female,.220833,.239352
36,8,7,6,12. Algeria,1. Male,.368996,.263611
41,6,5,9,12. Algeria,1. Male,.305,.267685
44,2,6,5,12. Algeria,2. Female,.276389,.064259
59,No formal education,5,5,12. Algeria,1. Male,.402222,.207917
72,No formal education,7,6,12. Algeria,2. Female,.221389,.174259
23,8,6,5,12. Algeria,2. Female,.263056,.402361
29,5,8,6,12. Algeria,1. Male,.318889,.354815
30,5,4,5,12. Algeria,1. Male,.373889,.332084
30,6,5,5,12. Algeria,2. Female,.318056,.214583
31,3,6,6,12. Algeria,1. Male,.345556,.404121
40,6,6,5,12. Algeria,2. Female,.415555,.239352
44,3,6,5,12. Algeria,1. Male,.332222,.146759
47,3,7,5,12. Algeria,2. Female,.388056,.16625
52,No formal education,8,7,12. Algeria,1. Male,.276389,.267685
68,No formal education,4,6,12. Algeria,2. Female,.344722,.457084
44,3,competition is good,2,12. Algeria,2. Female,.266583,.569028
47,6,competition is harmful,4,12. Algeria,1. Male,.172,.270416
46,6,competition is good,8,12. Algeria,1. Male,.359723,.378658
32,7,3,5,12. Algeria,2. Female,.498334,.254074
40,7,2,5,12. Algeria,2. Female,.276944,.2775
55,3,competition is good,8,12. Algeria,1. Male,.290834,.152778
25,3,competition is good,7,12. Algeria,1. Male,.291389,.198102
25,5,competition is good,3,12. Algeria,1. Male,.359167,.378657
28,University level,9,5,12. Algeria,1. Male,.303333,.195787
28,University level,competition is good,5,12. Algeria,1. Male,.22,.11524
29,6,2,6,12. Algeria,2. Female,.416667,.286204
22,4,competition is good,right,12. Algeria,2. Female,.317417,.207083
24,University level,competition is good,7,12. Algeria,2. Female,.12075,.455046
51,7,3,left,12. Algeria,2. Female,.221667,.21662
61,2,competition is good,left,12. Algeria,2. Female,.110556,.231482
62,University level,competition is good,left,12. Algeria,1. Male,.263889,.179583
19,7,7,5,12. Algeria,1. Male,.383,.304769
